County,Premium_Rate_per_acre
Fresno,154.11
San Joaquin,157.23
Merced,198.69
Glenn,0.0
Other,91.08
Stanislaus,138.14
Other,251.61
Merced,134.11
Merced,140.73
Other,234.02
Fresno,160.74
Stanislaus,135.63
Tulare,160.85
Butte,127.6
Madera,164.75
Butte,160.55
Fresno,212.38
Kern,171.0
Kern,195.96
Colusa,162.72
Fresno,175.33
Madera,209.28
Fresno,115.82
Madera,196.23
Stanislaus,0.0
Fresno,180.4
Kern,215.16
Stanislaus,154.17
Merced,109.48
Merced,166.55
Fresno,131.65
Other,200.12
San Joaquin,125.95
Kern,183.77
Fresno,212.8
San Joaquin,0.0
Butte,98.76
Madera,113.14
San Joaquin,199.46
Kern,285.89
Fresno,203.9
Tulare,138.77
Madera,116.89
Kern,175.14
Stanislaus,183.54
Other,248.45
Stanislaus,146.74
Other,239.21
Kern,202.28
Madera,162.22
Other,223.27
Butte,156.45
San Joaquin,0.0
San Joaquin,136.71
Kern,171.12
Merced,117.2
Stanislaus,203.05
Tulare,193.97
Other,200.63
Stanislaus,129.54
San Joaquin,190.26
Fresno,197.79
San Joaquin,145.27
Butte,164.14
Other,131.31
Other,211.76
Merced,0.0
Fresno,172.02
Stanislaus,197.16
San Joaquin,151.71
Madera,157.77
Butte,138.44
Merced,118.68
Fresno,205.14
Merced,162.29
Stanislaus,176.87
Madera,135.41
Kern,103.27
Merced,149.44
Madera,150.89
Fresno,176.57
Madera,0.0
Tulare,109.08
Colusa,107.64
Fresno,170.98
Kern,202.86
Fresno,165.81
Glenn,140.93
Stanislaus,130.7
Other,196.2
Kern,132.83
Other,176.59
Colusa,173.84
Other,92.85
Merced,180.79
Merced,149.64
Madera,183.78
Madera,149.27
Fresno,64.17
Butte,142.02
Merced,127.38
Stanislaus,169.15
Kern,0.0
Kern,172.16
Fresno,167.57
Colusa,163.07
Madera,0.0
Madera,134.9
Fresno,213.93
San Joaquin,173.51
Other,0.0
Glenn,206.37
Merced,147.06
Other,229.34
Fresno,161.15
Merced,196.32
Colusa,131.68
Glenn,158.71
Merced,166.75
Fresno,212.49
Merced,155.27
Fresno,119.75
Kern,0.0
Fresno,148.83
Fresno,156.6
Kern,233.56
Colusa,184.87
Fresno,164.36
San Joaquin,156.12
Kern,160.54
Kern,157.44
San Joaquin,151.06
San Joaquin,185.66
Kern,239.54
Stanislaus,165.57
Kern,211.37
Tulare,123.65
Merced,179.31
Butte,120.0
Butte,0.0
Kern,144.56
Merced,141.92
Stanislaus,148.09
Kern,210.91
Tulare,180.95
Madera,125.89
Butte,132.32
Colusa,99.66
Kern,168.94
Merced,174.76
Madera,212.42
Stanislaus,197.16
Madera,148.56
Glenn,0.0
Merced,93.46
San Joaquin,130.0
Butte,124.46
Stanislaus,144.8
Madera,152.41
Madera,186.82
Fresno,159.39
Stanislaus,140.46
Stanislaus,170.5
Merced,171.69
Stanislaus,117.27
Colusa,137.42
Madera,89.56
Stanislaus,148.47
Kern,179.17
Stanislaus,146.16
Madera,159.9
Stanislaus,153.4
Madera,192.38
Madera,176.19
Butte,181.44
Butte,138.27
Fresno,191.06
Madera,178.42
Merced,172.48
Kern,213.1
Stanislaus,0.0
Stanislaus,161.32
Merced,127.88
Other,142.19
Merced,133.61
Other,247.81
Fresno,166.22
Stanislaus,172.82
Fresno,166.22
Other,0.0
Butte,154.52
San Joaquin,169.0
San Joaquin,190.26
Colusa,142.08
Stanislaus,163.74
Merced,89.8
Stanislaus,138.14
Madera,194.2
San Joaquin,156.86
Other,162.17
Kern,163.53
Merced,169.12
San Joaquin,104.05
Other,243.51
Stanislaus,95.92
Stanislaus,137.08
Madera,168.6
Kern,192.97
Stanislaus,110.41
Fresno,205.34
Kern,171.12
Fresno,186.4
Merced,172.78
San Joaquin,141.5
Stanislaus,160.84
Fresno,197.79
Stanislaus,149.92
Tulare,182.6
Kern,179.4
Colusa,147.92
Madera,139.15
Merced,195.62
Butte,177.6
Kern,187.45
Merced,144.1
Other,202.02
Madera,134.9
Merced,192.86
San Joaquin,138.18
Madera,0.0
Colusa,104.05
Kern,235.98
Colusa,127.28
Merced,250.41
San Joaquin,169.83
Stanislaus,125.68
Other,236.93
Kern,173.3
Stanislaus,155.72
Merced,182.96
Fresno,155.15
Stanislaus,153.5
Butte,75.78
Merced,185.64
Kern,186.53
Tulare,134.03
Fresno,0.0
Madera,122.65
Other,170.02
Fresno,73.9
Other,193.04
Stanislaus,159.39
Kern,172.62
Stanislaus,132.34
San Joaquin,156.12
Other,167.61
Colusa,196.8
Other,216.82
Butte,138.27
Kern,225.98
Other,188.86
Madera,181.15
Colusa,152.58
Other,212.65
Butte,57.25
Tulare,209.76
Madera,199.06
Merced,140.24
San Joaquin,103.13
Butte,120.35
Kern,162.26
Madera,226.38
Merced,145.48
Fresno,142.62
Butte,119.91
Merced,133.71
Fresno,142.21
Stanislaus,151.66
Other,268.56
Fresno,177.5
Fresno,150.7
Kern,226.2
Kern,158.36
Kern,178.71
Glenn,116.5
Kern,0.0
Madera,136.42
Merced,113.64
Fresno,144.07
Colusa,0.0
Merced,179.31
Tulare,183.93
Fresno,171.5
Madera,147.75
Other,251.1
Merced,163.58
Glenn,128.25
Other,240.98
Merced,174.06
Kern,178.6
Fresno,175.95
Kern,190.78
Butte,131.45
San Joaquin,160.72
Kern,183.08
Stanislaus,151.47
Fresno,190.96
Stanislaus,200.93
Madera,170.22
Fresno,123.99
Madera,174.06
Madera,151.7
Tulare,168.91
Madera,153.22
San Joaquin,126.13
Stanislaus,156.88
Fresno,148.11
Madera,170.93
San Joaquin,94.67
Madera,173.76
Madera,151.29
Kern,107.98
Other,135.61
Other,183.68
Merced,197.9
Colusa,145.67
Butte,58.03
Fresno,175.64
Butte,172.09
Other,197.72
Tulare,143.52
Kern,169.4
Butte,55.5
Fresno,150.39
Colusa,125.22
Stanislaus,146.35
Stanislaus,120.75
Kern,189.06
Stanislaus,163.74
Madera,173.76
Merced,140.44
Stanislaus,130.31
Fresno,191.68
Madera,164.96
Madera,154.84
Kern,128.8
Kern,183.54
Kern,69.11
Fresno,0.0
Other,146.61
San Joaquin,137.26
Stanislaus,158.62
Madera,132.27
Other,284.37
Stanislaus,56.8
Fresno,175.12
Other,205.56
Stanislaus,183.15
Other,191.9
Fresno,224.08
Stanislaus,163.93
Fresno,187.44
Fresno,89.22
Fresno,147.49
Colusa,151.77
Stanislaus,182.09
Other,0.0
Butte,147.36
Stanislaus,204.02
Kern,162.72
San Joaquin,146.1
San Joaquin,150.24
Stanislaus,162.19
Other,288.55
Stanislaus,149.25
Colusa,116.88
Kern,226.32
Butte,139.67
Butte,155.31
Kern,177.68
Merced,160.81
Merced,164.27
San Joaquin,189.15
Other,210.62
Madera,189.75
Madera,153.22
Other,195.57
Fresno,206.28
Other,135.73
Other,261.6
Merced,122.34
Other,312.71
Other,101.33
Stanislaus,177.94
Fresno,101.33
Butte,151.11
Stanislaus,169.44
San Joaquin,107.82
Stanislaus,183.44
Other,77.29
Kern,178.02
Merced,144.99
Madera,187.02
Kern,126.38
Madera,110.21
Fresno,134.24
Kern,155.82
Other,226.18
Merced,157.05
Stanislaus,129.64
Tulare,174.1
Butte,147.53
Fresno,194.37
Colusa,171.78
Kern,155.48
Kern,169.51
Fresno,240.12
Kern,180.32
Other,253.13
Madera,189.04
Merced,111.76
Merced,130.15
Stanislaus,134.56
Fresno,125.55
Merced,0.0
Madera,174.06
Fresno,133.1
Kern,148.7
Tulare,170.46
Madera,152.91
San Joaquin,167.81
Fresno,150.07
Colusa,144.24
Kern,153.52
Butte,159.68
San Joaquin,157.69
Fresno,148.21
Tulare,175.87
Madera,191.27
Madera,185.2
Kern,158.58
Kern,188.83
Fresno,140.45
Kern,241.38
Stanislaus,168.08
Fresno,164.46
Kern,158.58
Tulare,220.14
Stanislaus,151.76
Madera,167.79
Fresno,182.47
Merced,183.56
Other,222.39
Kern,170.77
Tulare,232.72
Fresno,202.03
Butte,138.09
Kern,227.01
Fresno,199.13
San Joaquin,158.52
Butte,127.95
Kern,243.68
Butte,103.48
Fresno,243.22
Merced,176.14
Stanislaus,162.87
Other,194.68
Other,160.4
Colusa,134.37
Madera,178.31
Stanislaus,185.09
Kern,248.74
Fresno,194.79
Madera,175.38
San Joaquin,149.68
Fresno,133.2
Other,188.36
Other,167.74
Tulare,93.29
Fresno,202.76
Tulare,0.0
Fresno,193.54
Stanislaus,189.63
Colusa,0.0
Kern,215.4
Merced,131.14
Fresno,171.5
Merced,120.06
Kern,190.32
San Joaquin,194.4
Madera,191.57
Other,0.0
Stanislaus,148.86
Butte,103.92
Fresno,157.32
Other,227.95
Merced,147.26
Madera,156.56
Stanislaus,62.02
Stanislaus,184.12
Glenn,111.06
Tulare,208.77
Merced,140.73
Fresno,163.43
Tulare,223.78
Other,165.34
Other,187.6
Madera,146.84
Merced,146.97
Merced,152.6
Stanislaus,116.6
Merced,161.01
Butte,140.1
Colusa,126.93
San Joaquin,55.94
Stanislaus,130.51
Glenn,106.03
Other,188.23
Madera,168.6
Kern,158.01
Merced,130.15
Other,183.3
Kern,160.2
San Joaquin,136.16
Tulare,185.47
Madera,194.91
Kern,168.82
Other,196.58
Fresno,210.73
Other,201.77
Fresno,198.41
Kern,175.95
Madera,135.3
Fresno,147.69
Fresno,131.55
Merced,114.43
Fresno,204.83
Madera,203.31
Fresno,123.37
Kern,177.68
Merced,176.14
Butte,111.87
Merced,167.54
Stanislaus,86.46
Colusa,141.1
Stanislaus,164.9
Butte,82.24
Fresno,222.94
Tulare,212.96
Kern,153.99
Kern,224.36
Butte,123.41
Fresno,138.48
Stanislaus,175.52
Tulare,201.81
Colusa,149.44
Stanislaus,140.55
Fresno,120.06
Butte,138.35
Butte,150.68
Fresno,177.61
Madera,170.62
Kern,0.0
Madera,166.47
Merced,164.27
Other,223.02
Madera,132.37
Stanislaus,141.71
Madera,171.33
Fresno,196.03
Fresno,180.09
Other,285.0
Kern,186.64
Merced,175.25
Kern,131.79
San Joaquin,173.05
Butte,121.92
Merced,125.6
Kern,187.22
Fresno,169.43
Other,152.81
Kern,194.0
Merced,156.16
Madera,79.44
Madera,147.65
San Joaquin,153.73
Merced,182.77
Fresno,154.01
Stanislaus,188.37
Madera,150.99
Stanislaus,173.2
Fresno,0.0
Colusa,134.73
Kern,201.36
Merced,178.81
San Joaquin,116.1
Butte,202.16
Tulare,220.36
Glenn,151.31
Other,257.43
Colusa,168.55
Other,227.19
Kern,159.39
Madera,154.13
Kern,114.88
Fresno,151.01
Merced,101.08
Kern,166.75
Tulare,132.37
Fresno,159.08
Tulare,195.41
Tulare,191.21
Merced,126.0
Stanislaus,168.37
Fresno,0.0
Merced,153.39
Merced,156.16
Kern,205.74
Stanislaus,159.68
Stanislaus,181.7
Fresno,124.2
Kern,143.18
Butte,123.85
Kern,158.93
Other,210.62
Colusa,121.18
Fresno,217.25
Tulare,181.39
Fresno,172.22
Fresno,237.22
Madera,165.26
Butte,109.08
Madera,152.2
Stanislaus,140.26
Kern,216.08
Kern,190.44
Merced,201.56
Merced,118.09
Glenn,94.04
Fresno,171.29
Madera,220.92
Merced,212.83
Merced,181.88
Colusa,173.21
Merced,177.33
Other,208.47
Stanislaus,186.82
Madera,169.21
Merced,146.97
Other,76.41
Colusa,175.99
Fresno,155.15
Stanislaus,0.0
Stanislaus,136.4
Colusa,114.19
Kern,183.88
Stanislaus,115.73
Kern,171.35
Kern,213.1
Stanislaus,212.42
Fresno,140.76
Fresno,152.77
Stanislaus,161.13
Kern,157.78
Kern,205.5
Kern,195.27
Tulare,218.04
Merced,143.6
Fresno,170.46
Butte,165.89
San Joaquin,131.56
Fresno,184.54
Madera,157.97
Colusa,0.0
Other,168.12
Kern,75.21
Kern,186.76
Stanislaus,191.65
Butte,193.07
Fresno,71.73
Merced,161.8
Kern,217.0
Fresno,222.63
Kern,84.98
Stanislaus,173.01
Kern,211.37
Other,195.95
Kern,173.76
Tulare,61.49
Fresno,161.56
Stanislaus,153.01
Glenn,193.52
Butte,128.13
Butte,184.06
Stanislaus,220.15
Fresno,186.92
Kern,208.84
Tulare,136.23
Kern,190.56
Kern,194.24
Butte,51.13
Fresno,186.71
Kern,73.72
Tulare,68.67
Stanislaus,140.75
Merced,0.0
Other,228.84
Fresno,157.42
Fresno,0.0
Merced,150.62
Fresno,173.16
Stanislaus,163.45
Stanislaus,70.9
Glenn,160.5
Madera,154.23
Kern,200.56
Fresno,208.55
Kern,268.98
San Joaquin,161.28
Madera,152.81
Other,202.78
Other,191.52
Madera,144.41
Colusa,131.77
Madera,127.61
Colusa,170.16
Merced,174.95
Tulare,199.27
Merced,196.02
Glenn,124.67
Merced,181.88
Tulare,163.28
Merced,173.77
Other,227.95
Stanislaus,145.0
Merced,176.44
Kern,228.39
Kern,210.22
Madera,153.32
Butte,148.14
Other,166.6
Other,220.62
Fresno,227.91
Madera,157.26
Other,138.01
Colusa,78.49
Kern,233.34
Fresno,128.65
Madera,204.12
Kern,205.16
Madera,185.9
Madera,0.0
Other,72.23
Stanislaus,144.8
Tulare,0.0
Other,240.73
Stanislaus,176.58
Madera,142.79
Kern,149.84
Madera,65.58
Fresno,195.82
Fresno,152.14
Merced,162.59
Fresno,245.3
Fresno,179.57
San Joaquin,163.21
Stanislaus,129.25
Madera,129.23
Stanislaus,148.28
Glenn,0.0
Kern,211.14
Fresno,175.85
Butte,133.81
Merced,138.26
Madera,162.73
San Joaquin,126.22
Stanislaus,224.11
Fresno,147.8
Kern,182.16
Merced,163.48
Stanislaus,155.43
Stanislaus,108.77
Merced,156.76
San Joaquin,124.84
Other,233.39
Butte,138.62
Fresno,209.07
Kern,83.26
Kern,154.9
Stanislaus,140.55
Colusa,157.51
Madera,215.66
Kern,234.02
Madera,171.53
Merced,140.64
Fresno,188.27
Other,154.46
Madera,62.14
Butte,0.0
Colusa,139.57
Merced,144.99
Madera,147.95
Merced,143.21
Merced,176.64
Fresno,126.99
Stanislaus,96.89
Other,208.22
Stanislaus,190.59
Kern,184.34
Merced,183.36
Kern,148.12
San Joaquin,154.28
San Joaquin,110.31
Merced,131.34
Other,239.59
Other,200.5
Fresno,181.85
Butte,162.21
Kern,172.96
Fresno,175.33
San Joaquin,162.38
Fresno,145.52
Butte,110.65
Other,178.74
Other,226.31
Other,227.83
Tulare,0.0
San Joaquin,195.32
Fresno,80.42
Fresno,152.46
Stanislaus,178.13
Madera,152.41
Merced,146.08
Merced,162.59
Butte,126.21
San Joaquin,173.42
Merced,126.79
Butte,114.32
Kern,183.66
Stanislaus,59.41
Merced,138.76
Kern,211.26
San Joaquin,117.02
San Joaquin,147.2
Stanislaus,155.33
Madera,0.0
Merced,132.72
Other,213.41
Madera,189.35
San Joaquin,149.78
Stanislaus,158.52
Colusa,176.17
Butte,150.68
Glenn,0.0
Butte,180.04
Fresno,130.51
Kern,190.44
Merced,160.61
Fresno,179.68
Madera,211.1
Kern,139.38
Stanislaus,128.48
Kern,127.88
Stanislaus,179.0
Stanislaus,49.36
Kern,176.18
Madera,170.72
Fresno,157.73
Butte,156.53
Butte,122.45
Fresno,115.92
San Joaquin,162.93
Fresno,0.0
Fresno,167.88
Kern,222.18
Fresno,179.47
San Joaquin,162.38
Kern,225.74
Madera,169.61
Stanislaus,96.6
Kern,134.66
Colusa,134.28
Kern,184.23
Kern,244.49
Stanislaus,173.98
Merced,158.93
Kern,215.86
Other,188.23
Glenn,151.9
Merced,209.87
Merced,166.05
Kern,184.23
Butte,168.16
Other,166.73
Butte,162.3
Madera,189.14
Fresno,164.77
Stanislaus,147.51
Kern,179.4
Fresno,147.9
Stanislaus,127.32
Glenn,63.48
Tulare,0.0
Kern,205.62
Kern,238.16
Other,160.02
Tulare,0.0
Colusa,167.38
Merced,149.93
Kern,190.44
Stanislaus,121.04
Stanislaus,179.68
Stanislaus,157.55
Kern,231.04
Kern,171.0
Other,175.71
Stanislaus,153.88
Fresno,133.41
Madera,193.6
Other,248.07
Merced,155.27
Stanislaus,185.28
San Joaquin,222.0
Colusa,117.06
Fresno,144.07
Stanislaus,106.36
Butte,180.31
Stanislaus,169.82
Merced,113.83
Stanislaus,147.22
Fresno,175.23
Other,205.94
Other,210.5
Kern,68.88
Glenn,132.84
Fresno,137.76
Kern,148.0
Merced,122.83
Other,256.54
Kern,211.14
Stanislaus,195.52
Other,0.0
Fresno,202.14
Stanislaus,126.64
Tulare,225.0
Stanislaus,147.51
Stanislaus,177.84
Merced,148.25
Madera,202.0
Colusa,137.06
San Joaquin,204.24
Tulare,161.07
San Joaquin,205.34
Kern,63.02
Butte,133.63
Merced,138.86
Merced,177.43
Stanislaus,153.11
Other,202.4
Other,181.91
Colusa,161.01
Tulare,145.18
Kern,176.41
Kern,208.15
Glenn,126.8
Glenn,126.29
Kern,188.6
Glenn,151.9
Stanislaus,115.63
Fresno,0.0
Kern,170.89
Other,0.0
Butte,134.95
Tulare,200.16
Tulare,212.19
Merced,178.12
Glenn,125.1
Merced,179.9
Colusa,145.4
Merced,171.29
San Joaquin,136.71
Tulare,190.66
Fresno,200.17
Madera,146.13
Stanislaus,176.68
Butte,133.46
San Joaquin,135.98
Stanislaus,178.32
Merced,82.78
Madera,0.0
Fresno,120.68
Kern,211.83
Fresno,136.41
Merced,168.23
San Joaquin,141.22
Other,236.93
Stanislaus,168.28
Fresno,196.34
Kern,178.02
Fresno,209.07
Kern,163.42
Kern,174.68
Butte,143.07
San Joaquin,131.01
Kern,158.93
Tulare,163.94
Colusa,128.81
Fresno,192.1
Stanislaus,169.63
Colusa,143.07
Madera,180.03
San Joaquin,121.26
Fresno,113.23
Fresno,114.78
Merced,128.37
Merced,191.87
Kern,165.94
Kern,198.03
San Joaquin,0.0
Merced,165.66
Fresno,188.78
Tulare,198.5
Madera,142.29
San Joaquin,165.51
Tulare,222.68
Merced,121.25
Fresno,140.55
Fresno,175.43
Fresno,158.15
Glenn,195.82
Stanislaus,123.07
Fresno,128.86
Stanislaus,169.63
Stanislaus,132.54
Other,184.69
Fresno,52.27
Kern,235.98
Madera,179.63
San Joaquin,167.26
Fresno,168.91
Butte,155.31
Madera,0.0
Merced,119.57
Madera,0.0
Merced,179.6
Fresno,154.21
Kern,228.39
Glenn,114.03
Other,216.06
Colusa,141.46
Stanislaus,161.71
Fresno,188.06
Stanislaus,151.08
Fresno,207.0
Kern,244.03
Merced,130.55
San Joaquin,49.31
Other,228.33
Fresno,0.0
Madera,183.17
Kern,144.44
Kern,185.84
Madera,149.47
Fresno,49.27
Merced,174.06
Merced,171.29
Merced,139.94
Other,156.35
Fresno,96.26
Kern,123.97
Merced,0.0
Stanislaus,145.77
Kern,135.58
Butte,134.68
Stanislaus,149.44
Kern,143.64
Stanislaus,190.21
Butte,166.41
Stanislaus,128.77
Other,128.02
Other,241.49
Madera,165.97
San Joaquin,108.56
Merced,172.68
Merced,101.77
Stanislaus,128.86
Tulare,185.47
Fresno,149.14
Butte,139.93
Madera,156.05
Butte,140.98
Colusa,142.17
Kern,219.76
Fresno,167.57
Fresno,190.13
Kern,184.69
Kern,200.22
Kern,193.08
Butte,130.4
Glenn,118.29
Other,215.81
Madera,120.23
Madera,166.47
Kern,208.26
Glenn,158.88
Kern,159.85
Fresno,148.42
Stanislaus,214.55
San Joaquin,191.08
Merced,207.89
Tulare,174.54
Kern,208.38
Butte,139.84
Colusa,140.56
Colusa,165.23
Tulare,231.51
Butte,112.05
Kern,216.43
Merced,189.49
Other,236.93
Madera,160.0
Other,227.07
Other,217.07
San Joaquin,168.91
Fresno,204.31
Stanislaus,159.39
Tulare,154.56
Colusa,208.55
Merced,164.77
Merced,103.94
Other,156.23
Stanislaus,168.37
Madera,173.36
Fresno,139.93
Other,235.67
Kern,221.49
Other,208.6
Tulare,215.83
Stanislaus,160.36
Kern,131.68
Kern,179.17
Glenn,140.33
Merced,193.84
Madera,127.51
Other,0.0
San Joaquin,117.39
Madera,190.26
Butte,0.0
Butte,149.19
Colusa,150.07
San Joaquin,51.89
Other,205.18
Kern,210.68
Stanislaus,171.95
Fresno,156.18
Fresno,209.9
Kern,184.46
Tulare,127.51
Other,250.09
Kern,0.0
Other,0.0
Kern,192.05
Other,270.33
Colusa,61.62
Fresno,156.6
Stanislaus,171.18
Madera,156.76
Fresno,170.26
Tulare,177.08
Kern,0.0
Other,259.45
Other,169.26
Fresno,182.37
Fresno,0.0
Fresno,186.2
Merced,157.55
Stanislaus,0.0
Stanislaus,159.58
Madera,167.28
Butte,175.24
Colusa,129.8
Butte,159.77
Madera,166.07
Tulare,0.0
Glenn,176.41
Stanislaus,145.96
Madera,150.89
Madera,102.01
Kern,192.62
Glenn,122.88
Fresno,147.9
Fresno,150.28
Madera,143.0
San Joaquin,152.54
Madera,174.87
Fresno,159.49
Madera,120.12
Kern,139.26
Colusa,174.11
Stanislaus,202.38
Kern,235.64
Madera,185.6
San Joaquin,142.88
Kern,195.5
Fresno,199.13
Madera,177.5
Kern,192.62
Madera,128.83
Butte,93.17
Other,271.85
Stanislaus,121.43
Merced,199.18
Kern,146.97
Kern,0.0
Fresno,127.82
Merced,131.04
Other,219.98
Stanislaus,187.11
Kern,184.0
Merced,186.13
Kern,186.64
Tulare,162.95
Other,219.86
Merced,131.93
Kern,183.54
Other,85.26
Other,139.02
Fresno,156.91
Tulare,0.0
Kern,0.0
Merced,156.95
Stanislaus,119.3
Fresno,197.27
Stanislaus,159.49
Other,144.46
Other,174.19
Fresno,150.18
Kern,206.2
Stanislaus,185.18
Butte,114.23
Tulare,136.01
Fresno,209.59
Colusa,173.57
Stanislaus,131.47
Tulare,156.22
Fresno,199.55
Merced,114.63
Madera,118.61
Tulare,170.13
Butte,60.22
Other,229.47
Stanislaus,35.74
Fresno,59.1
Kern,165.94
Stanislaus,99.5
Stanislaus,183.44
Stanislaus,147.12
Madera,162.63
Stanislaus,166.83
Merced,148.65
Tulare,140.98
Other,206.95
Other,254.52
Other,233.01
Stanislaus,199.19
Fresno,199.03
San Joaquin,0.0
Madera,168.5
Kern,212.4
Kern,77.62
Other,198.23
Fresno,238.57
Merced,62.7
Merced,154.58
Madera,107.98
Fresno,186.09
Butte,0.0
Kern,162.04
Stanislaus,134.85
Kern,214.94
Butte,145.35
Kern,114.77
Butte,106.19
Madera,161.82
Madera,175.28
San Joaquin,138.83
Fresno,168.6
Tulare,132.81
Butte,149.54
Fresno,105.78
Butte,125.77
Stanislaus,0.0
Tulare,161.96
Kern,198.49
Other,71.09
Merced,171.99
Stanislaus,152.14
Tulare,64.58
Madera,148.66
Stanislaus,156.69
Glenn,132.16
Madera,125.89
Stanislaus,170.11
Other,124.22
Butte,140.8
Other,277.67
San Joaquin,195.41
Merced,170.6
Stanislaus,155.82
Fresno,161.67
Fresno,194.68
Kern,148.46
Madera,181.55
Merced,161.7
San Joaquin,167.62
Stanislaus,163.45
Fresno,167.46
Kern,98.9
Fresno,173.98
Fresno,154.94
Merced,152.7
Stanislaus,96.02
Other,179.25
Fresno,115.92
Madera,111.02
Fresno,206.07
Madera,220.82
Kern,167.32
Stanislaus,134.76
Kern,197.8
Stanislaus,191.65
Butte,86.7
Merced,166.75
Stanislaus,105.29
Stanislaus,193.01
Fresno,187.13
Madera,156.86
Kern,215.51
Butte,163.79
Merced,125.21
Butte,134.95
Kern,185.61
San Joaquin,158.15
Kern,237.24
Other,202.65
Stanislaus,142.1
Glenn,151.73
Madera,152.41
Kern,167.78
Fresno,161.36
Tulare,164.72
Other,239.46
Stanislaus,142.48
Butte,162.65
Merced,168.33
Fresno,0.0
Fresno,123.27
Colusa,160.65
Other,86.91
Kern,174.0
Madera,195.01
Madera,197.44
Butte,149.89
Colusa,156.44
Other,151.8
Merced,138.66
San Joaquin,158.88
Stanislaus,163.25
Other,185.7
Glenn,168.33
Madera,131.96
San Joaquin,76.91
Butte,125.42
Merced,151.42
Fresno,168.29
Fresno,146.45
Fresno,156.6
Fresno,181.75
Glenn,142.54
San Joaquin,171.67
San Joaquin,167.16
Kern,188.37
Fresno,138.28
Stanislaus,225.37
Colusa,149.17
